OTU,RA,SampleID,Notes,ExperimentName,Day/TimePoint,ReplicateGroup,DonorName
0;1;1,0.614570615,S009,,RD1,D1/T0,RD628 - 3,AB
0;1;1,0.510028966,S021,,RD1,D1/T0,RD628 - 6,AB
0;1;1,0.486759064,S022,,RD1,D1/T0,RD628 - 6,AB
0;2;2,0.336818876,S022,,RD1,D1/T0,RD628 - 6,AB
0;2;2,0.320243756,S021,,RD1,D1/T0,RD628 - 6,AB
0;2;2,0.117601697,S009,,RD1,D1/T0,RD628 - 3,AB
0;3;3,0.10110747,S009,,RD1,D1/T0,RD628 - 3,AB
0;1;4,0.072895915,S009,,RD1,D1/T0,RD628 - 3,AB
0;3;5,0.066255382,S009,,RD1,D1/T0,RD628 - 3,AB
0;1;4,0.057377387,S022,,RD1,D1/T0,RD628 - 6,AB
0;3;3,0.056348035,S021,,RD1,D1/T0,RD628 - 6,AB
0;3;3,0.054263086,S022,,RD1,D1/T0,RD628 - 6,AB
0;1;4,0.053670001,S021,,RD1,D1/T0,RD628 - 6,AB
0;3;5,0.039165945,S022,,RD1,D1/T0,RD628 - 6,AB
0;3;5,0.037328524,S021,,RD1,D1/T0,RD628 - 6,AB
0;1;6,0.018400703,S009,,RD1,D1/T0,RD628 - 3,AB
0;1;6,0.018128944,S022,,RD1,D1/T0,RD628 - 6,AB
0;1;6,0.015931573,S021,,RD1,D1/T0,RD628 - 6,AB
0;1;7,0.006876165,S009,,RD1,D1/T0,RD628 - 3,AB
0;4;8,0.003217424,S022,,RD1,D1/T0,RD628 - 6,AB
0;4;8,0.002787342,S021,,RD1,D1/T0,RD628 - 6,AB
0;1;7,0.002639937,S022,,RD1,D1/T0,RD628 - 6,AB
0;1;7,0.002131497,S021,,RD1,D1/T0,RD628 - 6,AB
1;5;9,0.001065748,S021,,RD1,D1/T0,RD628 - 6,AB
0;4;10,0.00100679,S009,,RD1,D1/T0,RD628 - 3,AB
0;4;11,0.000771159,S009,,RD1,D1/T0,RD628 - 3,AB
1;5;9,0.000701233,S022,,RD1,D1/T0,RD628 - 6,AB
0;4;11,0.000701233,S022,,RD1,D1/T0,RD628 - 6,AB
0;4;8,0.000514106,S009,,RD1,D1/T0,RD628 - 3,AB
0;4;11,0.000464557,S021,,RD1,D1/T0,RD628 - 6,AB
